date,holiday,sinhour,coshour,sindow,cosdow,sindate,cosdate,T_ctrl,T_stp_cool,T_stp_heat,Humidity,compCool1,compCool2,fan,Thermostat_Motion,T_out,RH_out,Thermostat_Temperature
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,68,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,68,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,68,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,68,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,68,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,0,68,84,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,0,67,86,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,0,67,86,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,0,67,86,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,0,67,86,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,85,64,57,0,0,0,1,67,86,68
8/7/17,0,0.965925826,-0.258819045,0,1,0.988468324,0.151427778,69,83,64,57,0,0,0,0,67,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,57,0,0,0,1,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,57,0,0,0,0,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,68,78,69,56,0,0,0,1,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,68,78,69,57,0,0,0,0,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,68,78,69,57,0,0,0,0,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,68,78,69,57,0,0,0,1,70,86,68
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,68,78,69,56,0,0,0,1,70,75,69
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,1,70,75,69
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,1,70,75,69
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,1,70,75,69
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,0,70,75,69
8/7/17,0,0.866025404,-0.5,0,1,0.988468324,0.151427778,69,78,69,57,0,0,0,0,70,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,1,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,1,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,69,78,69,56,0,0,0,0,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,1,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,71,75,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,74,65,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,74,65,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,74,65,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,74,65,69
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,74,65,70
8/7/17,0,0.707106781,-0.707106781,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,1,74,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,0,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,1,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,70,78,69,57,0,0,0,1,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,56,0,0,0,1,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,56,0,0,0,1,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,59,0,0,0,1,75,65,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,60,0,0,0,0,78,57,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,60,0,0,0,0,78,57,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,60,0,0,0,0,78,57,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,61,0,0,0,0,78,57,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,61,0,0,0,0,78,57,70
8/7/17,0,0.5,-0.866025404,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,78,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,61,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,70,78,69,62,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,70,78,69,62,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,70,78,69,62,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,63,0,0,0,0,80,57,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,61,0,0,0,0,81,51,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,81,51,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,81,51,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,81,51,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,81,51,70
8/7/17,0,0.258819045,-0.965925826,0,1,0.988468324,0.151427778,71,78,69,62,0,0,0,0,81,51,70
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,63,0,0,0,0,83,51,70
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,64,0,0,0,0,83,51,70
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,63,0,0,0,0,83,51,70
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,63,0,0,0,0,83,51,70
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,65,0,0,0,0,83,51,68
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,68,0,0,0,0,83,51,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,69,0,0,0,0,83,50,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,71,0,0,0,0,83,50,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,71,0,0,0,0,83,50,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,72,0,0,0,0,83,50,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,71,78,69,72,0,0,0,0,83,50,67
8/7/17,0,1.22E-16,-1,0,1,0.988468324,0.151427778,72,78,69,72,0,0,0,0,83,50,67
8/7/17,0,-0.258819045,-0.965925826,0,1,0.988468324,0.151427778,72,78,69,72,0,0,0,0,84,50,67
